Afghanistan, https://en.wikipedia.org/wiki/Afghanistan, Kabul, https://en.wikipedia.org/wiki/Kabul, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/23px-Flag_of_the_Taliban.svg.png, 23, 12, 34.525278, 69.178333 
Antigua and Barbuda, https://en.wikipedia.org/wiki/Antigua_and_Barbuda, St. John's, https://en.wikipedia.org/wiki/St._John%27s%2c_Antigua_and_Barbuda, https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/23px-Flag_of_Antigua_and_Barbuda.svg.png, 23, 15, 17.116667, -61.85 
Bahrain, https://en.wikipedia.org/wiki/Bahrain, Manama, https://en.wikipedia.org/wiki/Manama, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/23px-Flag_of_Bahrain.svg.png, 23, 14, 26.225, 50.5775 
Barbados, https://en.wikipedia.org/wiki/Barbados, Bridgetown, https://en.wikipedia.org/wiki/Bridgetown, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/23px-Flag_of_Barbados.svg.png, 23, 15, 13.0975, -59.616667 
Belize, https://en.wikipedia.org/wiki/Belize, Belmopan, https://en.wikipedia.org/wiki/Belmopan, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/23px-Flag_of_Belize.svg.png, 23, 14, 17.251389, -88.766944 
Botswana, https://en.wikipedia.org/wiki/Botswana, Gaborone, https://en.wikipedia.org/wiki/Gaborone, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/23px-Flag_of_Botswana.svg.png, 23, 15, -24.658056, 25.912222 
Brunei, https://en.wikipedia.org/wiki/Brunei, Bandar Seri Begawan, https://en.wikipedia.org/wiki/Bandar_Seri_Begawan, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/23px-Flag_of_Brunei.svg.png, 23, 12, 4.890278, 114.942222 
Cyprus, https://en.wikipedia.org/wiki/Cyprus, Nicosia, https://en.wikipedia.org/wiki/Nicosia, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/23px-Flag_of_Cyprus.svg.png, 23, 15, 35.1725, 33.365 
Dominica, https://en.wikipedia.org/wiki/Dominica, Roseau, https://en.wikipedia.org/wiki/Roseau, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/23px-Flag_of_Dominica.svg.png, 23, 12, 15.301389, -61.388333 
Egypt, https://en.wikipedia.org/wiki/Egypt, Cairo, https://en.wikipedia.org/wiki/Cairo, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png, 23, 15, 30.044444, 31.235833 
Eswatini, https://en.wikipedia.org/wiki/Eswatini, Lobamba, https://en.wikipedia.org/wiki/Mbabane, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/23px-Flag_of_Eswatini.svg.png, 23, 15, -26.316667, 31.133333 
Fiji, https://en.wikipedia.org/wiki/Fiji, Suva, https://en.wikipedia.org/wiki/Suva, https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/23px-Flag_of_Fiji.svg.png, 23, 12, -18.129444, 178.447778 
Ghana, https://en.wikipedia.org/wiki/Ghana, Accra, https://en.wikipedia.org/wiki/Accra, https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/23px-Flag_of_Ghana.svg.png, 23, 15, 5.55, -0.2 
