千代田区, https://en.wikipedia.org/wiki/%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Chiyoda%2C_Tokyo.svg/35px-Flag_of_Chiyoda%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Emblem_of_Chiyoda%2C_Tokyo.svg/25px-Emblem_of_Chiyoda%2C_Tokyo.svg.png, 25, 25, 68&comma;144人, 11.66km², 5&comma;844, chyoda,  35.69, 139.75
中央区, https://en.wikipedia.org/wiki/%E4%B8%AD%E5%A4%AE%E5%8C%BA_(%E6%9D%B1%E4%BA%AC%E9%83%BD), https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Flag_of_Chuo%2C_Tokyo.svg/35px-Flag_of_Chuo%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Emblem_of_Chuo%2C_Tokyo.svg/25px-Emblem_of_Chuo%2C_Tokyo.svg.png, 25, 25, 174&comma;487人, 10.21km², 17&comma;090, chūō, 35.666667, 139.766667 
港区, https://en.wikipedia.org/wiki/%E6%B8%AF%E5%8C%BA_(%E6%9D%B1%E4%BA%AC%E9%83%BD), https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_Minato%2C_Tokyo.svg/35px-Flag_of_Minato%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Emblem_of_Minato%2C_Tokyo.svg/25px-Emblem_of_Minato%2C_Tokyo.svg.png, 25, 25, 266&comma;165人, 20.37km², 13&comma;067, minato, 35.65803, 139.75153 
新宿区, https://en.wikipedia.org/wiki/%E6%96%B0%E5%AE%BF%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Flag_of_Shinjuku%2C_Tokyo.svg/35px-Flag_of_Shinjuku%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Emblem_of_Shinjuku%2C_Tokyo.svg/25px-Emblem_of_Shinjuku%2C_Tokyo.svg.png, 25, 24, 352&comma;845人, 18.22km², 19&comma;366, shinjuku, 35.701389, 139.709722 
文京区, https://en.wikipedia.org/wiki/%E6%96%87%E4%BA%AC%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_Bunkyo%2C_Tokyo.svg/35px-Flag_of_Bunkyo%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Emblem_of_Bunkyo%2C_Tokyo.svg/25px-Emblem_of_Bunkyo%2C_Tokyo.svg.png, 25, 21, 244&comma;426人, 11.29km², 21&comma;650, bunkyō, 35.716667, 139.75
台東区, https://en.wikipedia.org/wiki/%E5%8F%B0%E6%9D%B1%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Flag_of_Taito%2C_Tokyo.svg/35px-Flag_of_Taito%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Emblem_of_Taito%2C_Tokyo.svg/25px-Emblem_of_Taito%2C_Tokyo.svg.png, 25, 28, 218&comma;634人, 10.11km², 21&comma;626, taitō, 35.7125, 139.78 
墨田区, https://en.wikipedia.org/wiki/%E5%A2%A8%E7%94%B0%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Sumida%2C_Tokyo.svg/35px-Flag_of_Sumida%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Emblem_of_Sumida%2C_Tokyo.svg/25px-Emblem_of_Sumida%2C_Tokyo.svg.png, 25, 26, 279&comma;687人, 13.77km², 20&comma;311, sumida, 35.71069, 139.8015 
江東区, https://en.wikipedia.org/wiki/%E6%B1%9F%E6%9D%B1%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_Koto%2C_Tokyo.svg/35px-Flag_of_Koto%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Emblem_of_Koto%2C_Tokyo.svg/25px-Emblem_of_Koto%2C_Tokyo.svg.png, 25, 25, 535&comma;465人, 40.16km², 13&comma;333, kōtō, 35.666667, 139.816667
品川区, https://en.wikipedia.org/wiki/%E5%93%81%E5%B7%9D%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Shinagawa%2C_Tokyo.svg/35px-Flag_of_Shinagawa%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emblem_of_Shinagawa%2C_Tokyo.svg/25px-Emblem_of_Shinagawa%2C_Tokyo.svg.png, 25, 23, 422&comma;175人, 22.84km², 18&comma;484, shinagawa, 35.60917, 139.73017 
目黒区, https://en.wikipedia.org/wiki/%E7%9B%AE%E9%BB%92%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Meguro%2C_Tokyo.svg/35px-Flag_of_Meguro%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Emblem_of_Meguro%2C_Tokyo.svg/25px-Emblem_of_Meguro%2C_Tokyo.svg.png, 25, 28, 285&comma;773人, 14.67km², 19&comma;480, meguro, 35.6415, 139.69828 
