chiba, 千葉県, https://ja.wikipedia.org/wiki/%E5%8D%83%E8%91%89%E7%9C%8C, 千葉県, https://ja.wikipedia.org/wiki/%E5%8D%83%E8%91%89%E7%9C%8C, 35.60458, 140.12319

umihotaru, 海ほたるパーキングエリア, https://ja.wikipedia.org/wiki/%E6%B5%B7%E3%81%BB%E3%81%9F%E3%82%8B%E3%83%91%E3%83%BC%E3%82%AD%E3%83%B3%E3%82%B0%E3%82%A8%E3%83%AA%E3%82%A2, 木更津市, https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9B%B4%E6%B4%A5%E5%B8%82, 35.464444, 139.874444

nakanoshima_chiba, 中の島_千葉, https://ja.wikipedia.org/wiki/%E4%B8%AD%E3%81%AE%E5%B3%B6_(%E5%8D%83%E8%91%89%E7%9C%8C), 木更津市, https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9B%B4%E6%B4%A5%E5%B8%82, 35.385056, 139.911583

gyoubu_misaki_1, 刑部岬_1, https://ja.wikipedia.org/wiki/%E5%88%91%E9%83%A8%E5%B2%AC, 旭市, https://ja.wikipedia.org/wiki/%E6%97%AD%E5%B8%82,35.68965515364882, 140.73121817809587

gyoubu_misaki_2, 刑部岬_2, https://ja.wikipedia.org/wiki/%E5%88%91%E9%83%A8%E5%B2%AC, 旭市, https://ja.wikipedia.org/wiki/%E6%97%AD%E5%B8%82, 35.690789, 140.73502866666664

chiba_kou, 千葉港, https://ja.wikipedia.org/wiki/%E5%8D%83%E8%91%89%E6%B8%AF, 千葉市, https://ja.wikipedia.org/wiki/%E5%8D%83%E8%91%89%E5%B8%82, 35.6751719944701, 139.96864837141104

