Abkhazia, https://en.wikipedia.org/wiki/Abkhazia, Sukhumi, https://en.wikipedia.org/wiki/Sukhumi, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Republic_of_Abkhazia.svg/23px-Flag_of_the_Republic_of_Abkhazia.svg.png, 23, 12, 
Afghanistan, https://en.wikipedia.org/wiki/Afghanistan, Kabul, https://en.wikipedia.org/wiki/Kabul, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/23px-Flag_of_the_Taliban.svg.png, 23, 12, 
Albania, https://en.wikipedia.org/wiki/Albania, Tirana, https://en.wikipedia.org/wiki/Tirana, https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/21px-Flag_of_Albania.svg.png, 21, 15, 
Algeria, https://en.wikipedia.org/wiki/Algeria, Algiers, https://en.wikipedia.org/wiki/Algiers, https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png, 23, 15, 
American Samoa, https://en.wikipedia.org/wiki/American_Samoa, Pago Pago, https://en.wikipedia.org/wiki/Pago_Pago, https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/23px-Flag_of_American_Samoa.svg.png, 23, 12,  Samoa	Territory of the United States.
Andorra, https://en.wikipedia.org/wiki/Andorra, Andorra la Vella, https://en.wikipedia.org/wiki/Andorra_la_Vella, https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png, 22, 15, 
Angola, https://en.wikipedia.org/wiki/Angola, Luanda, https://en.wikipedia.org/wiki/Luanda, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/23px-Flag_of_Angola.svg.png, 23, 15, 
Anguilla, https://en.wikipedia.org/wiki/Anguilla, The Valley, https://en.wikipedia.org/wiki/The_Valley_Anguilla, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/23px-Flag_of_Anguilla.svg.png, 23, 12, British Overseas Territory.
Antigua and Barbuda, https://en.wikipedia.org/wiki/Antigua_and_Barbuda, St. John's, https://en.wikipedia.org/wiki/St._John%27s_Antigua_and_Barbuda, https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/23px-Flag_of_Antigua_and_Barbuda.svg.png, 23, 15, Antigua and Barbuda has no official capital.
Argentina, https://en.wikipedia.org/wiki/Argentina, Buenos Aires, https://en.wikipedia.org/wiki/Buenos_Aires, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, 
Armenia, https://en.wikipedia.org/wiki/Armenia, Yerevan, https://en.wikipedia.org/wiki/Yerevan, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/23px-Flag_of_Armenia.svg.png, 23, 12, 
Artsakh, https://en.wikipedia.org/wiki/Republic_of_Artsakh, Stepanakert, https://en.wikipedia.org/wiki/Stepanakert, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Artsakh.svg/23px-Flag_of_Artsakh.svg.png, 23, 12, The self-declared country remains diplomatically unrecognized by UN-member states, including Armenia. Transnistria, South Ossetia, and Abkhazia all recognize the state. Claimed in whole by Azerbaijan.
Aruba, https://en.wikipedia.org/wiki/Aruba, Oranjestad, https://en.wikipedia.org/wiki/Oranjestad_Aruba, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/23px-Flag_of_Aruba.svg.png, 23, 15, Self-governing country within the Kingdom of the Netherlands.
Ascension Island, https://en.wikipedia.org/wiki/Ascension_Island, Georgetown, https://en.wikipedia.org/wiki/Georgetown_Ascension_Island, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Ascension_Island.svg/23px-Flag_of_Ascension_Island.svg.png, 23, 12, 
Australia, https://en.wikipedia.org/wiki/Australia, Canberra, https://en.wikipedia.org/wiki/Canberra, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png, 23, 12, 
Austria, https://en.wikipedia.org/wiki/Austria, Vienna, https://en.wikipedia.org/wiki/Vienna, https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/23px-Flag_of_Austria.svg.png, 23, 15, 
Azerbaijan, https://en.wikipedia.org/wiki/Azerbaijan, Baku, https://en.wikipedia.org/wiki/Baku, https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/23px-Flag_of_Azerbaijan.svg.png, 23, 12, 
Bahamas, https://en.wikipedia.org/wiki/The_Bahamas, Nassau, https://en.wikipedia.org/wiki/Nassau_Bahamas, https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/23px-Flag_of_the_Bahamas.svg.png, 23, 12, 
Bahrain, https://en.wikipedia.org/wiki/Bahrain, Manama, https://en.wikipedia.org/wiki/Manama, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/23px-Flag_of_Bahrain.svg.png, 23, 14, 
Bangladesh, https://en.wikipedia.org/wiki/Bangladesh, Dhaka, https://en.wikipedia.org/wiki/Dhaka, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png, 23, 14, 
Barbados, https://en.wikipedia.org/wiki/Barbados, Bridgetown, https://en.wikipedia.org/wiki/Bridgetown, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/23px-Flag_of_Barbados.svg.png, 23, 15, 
Belarus, https://en.wikipedia.org/wiki/Belarus, Minsk, https://en.wikipedia.org/wiki/Minsk, https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/23px-Flag_of_Belarus.svg.png, 23, 12, 
Belgium, https://en.wikipedia.org/wiki/Belgium, Brussels, https://en.wikipedia.org/wiki/City_of_Brussels, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/17px-Flag_of_Belgium.svg.png, 17, 15, Also the de facto capital of the  European Union.
Belize, https://en.wikipedia.org/wiki/Belize, Belmopan, https://en.wikipedia.org/wiki/Belmopan, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/23px-Flag_of_Belize.svg.png, 23, 14, 
Benin, https://en.wikipedia.org/wiki/Benin, Porto-Novo, https://en.wikipedia.org/wiki/Porto-Novo, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/23px-Flag_of_Benin.svg.png, 23, 15, 
Bermuda, https://en.wikipedia.org/wiki/Bermuda, Hamilton, https://en.wikipedia.org/wiki/Hamilton_Bermuda, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/23px-Flag_of_Bermuda.svg.png, 23, 12, 	British Overseas Territory.
Bhutan, https://en.wikipedia.org/wiki/Bhutan, Thimphu, https://en.wikipedia.org/wiki/Thimphu, https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/23px-Flag_of_Bhutan.svg.png, 23, 15, 
Bolivia, https://en.wikipedia.org/wiki/Bolivia, La Paz, https://en.wikipedia.org/wiki/La_Paz, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Bandera_de_Bolivia_%28Estado%29.svg/22px-Bandera_de_Bolivia_%28Estado%29.svg.png, 22, 15,  Bolivia	La Paz is the highest administrative capital (3,650 m) in the world, higher than Quito.
Bosnia and Herzegovina, https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina, Sarajevo, https://en.wikipedia.org/wiki/Sarajevo, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/23px-Flag_of_Bosnia_and_Herzegovina.svg.png, 23, 12, 
Botswana, https://en.wikipedia.org/wiki/Botswana, Gaborone, https://en.wikipedia.org/wiki/Gaborone, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/23px-Flag_of_Botswana.svg.png, 23, 15, 
