Anguilla, https://en.wikipedia.org/wiki/Anguilla, The Valley, https://en.wikipedia.org/wiki/The_Valley%2c_Anguilla, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/80px-Flag_of_Anguilla.svg.png, 80, 40, 18.220833, -63.051667
Bermuda, https://en.wikipedia.org/wiki/Bermuda, Hamilton, https://en.wikipedia.org/wiki/Hamilton%2c_Bermuda, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/80px-Flag_of_Bermuda.svg.png, 80, 40, 32.293, -64.782
British Antarctic Territory, https://en.wikipedia.org/wiki/British_Antarctic_Territory, Rothera, https://en.wikipedia.org/wiki/Rothera_Research_Station, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_the_British_Antarctic_Territory.svg/80px-Flag_of_the_British_Antarctic_Territory.svg.png, 80, 40, -67.568783, -68.125028
British Indian Ocean Territory, https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory, Naval Support Facility Diego Garcia, https://en.wikipedia.org/wiki/Naval_Support_Facility_Diego_Garcia, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg/80px-Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg.png, 80, 40, -7.313333, 72.411111
British Virgin Islands, https://en.wikipedia.org/wiki/British_Virgin_Islands, Road Town, https://en.wikipedia.org/wiki/Road_Town, https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/80px-Flag_of_the_British_Virgin_Islands.svg.png, 80, 40, 18.431389, -64.623056
Cayman Islands, https://en.wikipedia.org/wiki/Cayman_Islands, George Town, https://en.wikipedia.org/wiki/George_Town%2c_Cayman_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/80px-Flag_of_the_Cayman_Islands.svg.png, 80, 40, 19.3034, -81.3863
Falkland Islands, https://en.wikipedia.org/wiki/Falkland_Islands, Stanley, https://en.wikipedia.org/wiki/Stanley%2c_Falkland_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/80px-Flag_of_the_Falkland_Islands.svg.png, 80, 40, -51.695, -57.850556
Gibraltar, https://en.wikipedia.org/wiki/Gibraltar, Gibraltar, https://en.wikipedia.org/wiki/Gibraltar, https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/80px-Flag_of_Gibraltar.svg.png, 80, 40, 36.14, -5.35
Montserrat, https://en.wikipedia.org/wiki/Montserrat, Plymouth, https://en.wikipedia.org/wiki/Plymouth%2c_Montserrat, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/80px-Flag_of_Montserrat.svg.png, 80, 40, 16.706417, -62.21583940, 
Pitcairn Islands, https://en.wikipedia.org/wiki/Pitcairn_Islands, Adamstown, https://en.wikipedia.org/wiki/Adamstown%2c_Pitcairn_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_the_Pitcairn_Islands.svg/80px-Flag_of_the_Pitcairn_Islands.svg.png, 80, 40, -25.066667, -130.1
Saint Helena&comma;Ascension and Tristan da Cunha, https://en.wikipedia.org/wiki/Saint_Helena%2c_Ascension_and_Tristan_da_Cunha, Jamestown, https://en.wikipedia.org/wiki/Jamestown%2c_Saint_Helena, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/80px-Flag_of_the_United_Kingdom.svg.png, 80, 40, -15.924444, -5.718056
South Georgia and the South Sandwich Islands, https://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands, King Edward Point, https://en.wikipedia.org/wiki/King_Edward_Point, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_South_Georgia_and_the_South_Sandwich_Islands.svg/80px-Flag_of_South_Georgia_and_the_South_Sandwich_Islands.svg.png, 80, 40, -54.283333, -36.495
Sovereign Base Areas of Akrotiri and Dhekelia, https://en.wikipedia.org/wiki/Akrotiri_and_Dhekelia, Episkopi Cantonment, https://en.wikipedia.org/wiki/Episkopi_Cantonment, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/80px-Flag_of_the_United_Kingdom.svg.png, 80, 40, 34.676, 32.8375
Turks and Caicos Islands, https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands, Cockburn Town, https://en.wikipedia.org/wiki/Cockburn_Town, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg/80px-Flag_of_the_Turks_and_Caicos_Islands.svg.png, 80, 40, 21.459, -71.139
