2, 横浜市, https://ja.wikipedia.org/wiki/%E6%A8%AA%E6%B5%9C%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Yokohama%2C_Kanagawa.svg/100px-Flag_of_Yokohama%2C_Kanagawa.svg.png, 100, 67, なし, , 地色は白色であり、紋章は赤色が指定されている,  
0, 川崎市, https://ja.wikipedia.org/wiki/%E5%B7%9D%E5%B4%8E%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Kawasaki%2C_Kanagawa.svg/100px-Flag_of_Kawasaki%2C_Kanagawa.svg.png, 100, 70, あり, 1965年7月1日, 地色は白色であり、紋章は藍色が指定されている,  
2, 相模原市, https://ja.wikipedia.org/wiki/%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Sagamihara%2C_Kanagawa.svg/100px-Flag_of_Sagamihara%2C_Kanagawa.svg.png, 100, 67, なし, , 地色は白色であり、紋章は赤色が指定されている,  
0, 横須賀市, https://ja.wikipedia.org/wiki/%E6%A8%AA%E9%A0%88%E8%B3%80%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Yokosuka%2C_Kanagawa.svg/100px-Flag_of_Yokosuka%2C_Kanagawa.svg.png, 100, 67, あり, 1911年3月16日, 地色は白色であり、紋章は赤色が指定されている,  
2, 平塚市, https://ja.wikipedia.org/wiki/%E5%B9%B3%E5%A1%9A%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Hiratsuka%2C_Kanagawa.svg/100px-Flag_of_Hiratsuka%2C_Kanagawa.svg.png, 100, 67, なし, , 地色は紫紺色であり、紋章は白色が指定されている,  
2, 鎌倉市, https://ja.wikipedia.org/wiki/%E9%8E%8C%E5%80%89%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Kamakura%2C_Kanagawa.svg/100px-Flag_of_Kamakura%2C_Kanagawa.svg.png, 100, 67, なし, , 地色は白色であり、紋章は黒色が指定されている,  
0, 藤沢市, https://ja.wikipedia.org/wiki/%E8%97%A4%E6%B2%A2%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Fujisawa%2C_Kanagawa.svg/100px-Flag_of_Fujisawa%2C_Kanagawa.svg.png, 100, 67, あり, 1950年10月1日, 地色は白色であり、紋章は濃紺色が指定されている,  
2, 小田原市, https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Flag_of_Odawara%2C_Kanagawa.svg/100px-Flag_of_Odawara%2C_Kanagawa.svg.png, 100, 67, なし, , 地色は紺色であり、紋章は白色が指定されている,  
2, 茅ヶ崎市, https://ja.wikipedia.org/wiki/%E8%8C%85%E3%83%B6%E5%B4%8E%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Chigasaki%2C_Kanagawa.svg/100px-Flag_of_Chigasaki%2C_Kanagawa.svg.png, 100, 67, なし, , 地色は白色であり、紋章は赤色が指定されている,  
2, 逗子市, https://ja.wikipedia.org/wiki/%E9%80%97%E5%AD%90%E5%B8%82, https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Zushi_Kanagawa.svg/100px-Flag_of_Zushi_Kanagawa.svg.png, 100, 67, なし, , 地色は紺色であり、紋章は白色が指定されている,  
