2, odawara, 小田原市, https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%B8%82
2, minamiashigara, 南足柄市, https://ja.wikipedia.org/wiki/%E5%8D%97%E8%B6%B3%E6%9F%84%E5%B8%82
3, nakai, 中井町, https://ja.wikipedia.org/wiki/%E4%B8%AD%E4%BA%95%E7%94%BA
3, ooi, 大井町, https://ja.wikipedia.org/wiki/%E5%A4%A7%E4%BA%95%E7%94%BA
3, matsuda, 松田町, https://ja.wikipedia.org/wiki/%E6%9D%BE%E7%94%B0%E7%94%BA
3, yamakita, 山北町, https://ja.wikipedia.org/wiki/%E5%B1%B1%E5%8C%97%E7%94%BA
3, kaisei, 開成町, https://ja.wikipedia.org/wiki/%E9%96%8B%E6%88%90%E7%94%BA
3, hakona, 箱根町, https://ja.wikipedia.org/wiki/%E7%AE%B1%E6%A0%B9%E7%94%BA
3, manazuru, 真鶴町, https://ja.wikipedia.org/wiki/%E7%9C%9F%E9%B6%B4%E7%94%BA
3, yugawara, 湯河原町, https://ja.wikipedia.org/wiki/%E6%B9%AF%E6%B2%B3%E5%8E%9F%E7%94%BA
