Antigua and Barbuda, https://en.wikipedia.org/wiki/Antigua_and_Barbuda, 1 November 1981, Americas, https://en.wikipedia.org/wiki/Americas, Caribbean,  https://en.wikipedia.org/wiki/Caribbean, 94&comma;195, Unitary Commonwealth realm,  
Australia, https://en.wikipedia.org/wiki/Australia, 19 November 1926, Oceania, https://en.wikipedia.org/wiki/Oceania, Australia and New Zealand,  https://en.wikipedia.org/wiki/Australasia, 25&comma;766&comma;600, Federal Commonwealth realm, Australia was one of the original Dominions at the time of the Balfour Declaration of 1926 and the Statute of Westminster 1931&comma; although the statute was not adopted in Australia until 1942 (with retroactive effect from 1939). The Australia Act 1986 eliminated the remaining possibilities for the UK to legislate with effect in Australia&comma; for the UK to be involved in Australian government&comma; and for an appeal from any Australian court to a British court. 
Bahamas, https://en.wikipedia.org/wiki/The_Bahamas, 10 July 1973, Americas, https://en.wikipedia.org/wiki/Americas, Caribbean,  https://en.wikipedia.org/wiki/Caribbean, 402&comma;576, Unitary Commonwealth realm,  
Bangladesh, https://en.wikipedia.org/wiki/Bangladesh, 18 April 1972, Asia, https://en.wikipedia.org/wiki/Asia, Southern Asia,  https://en.wikipedia.org/wiki/South_Asia, 165&comma;867&comma;307, Unitary Westminster republic, Declared independence from Pakistan in 1971. 
Barbados, https://en.wikipedia.org/wiki/Barbados, 30 November 1966, Americas, https://en.wikipedia.org/wiki/Americas, Caribbean,  https://en.wikipedia.org/wiki/Caribbean, 286&comma;618, Unitary Westminster republic, Barbados removed Elizabeth II as its head of state and became a republic on 30 November 2021. 
Belize, https://en.wikipedia.org/wiki/Belize, 21 September 1981, Americas, https://en.wikipedia.org/wiki/Americas, Central America,  https://en.wikipedia.org/wiki/Central_America, 379&comma;636, Unitary Commonwealth realm,  
Botswana, https://en.wikipedia.org/wiki/Botswana, 30 September 1966[citation needed], Africa, https://en.wikipedia.org/wiki/Africa, Southern Africa,  https://en.wikipedia.org/wiki/Southern_Africa, 2&comma;377&comma;831, Unitary parliamentary republic with an executive presidency,  
Brunei, https://en.wikipedia.org/wiki/Brunei, 1 January 1984, Asia, https://en.wikipedia.org/wiki/Asia, South-eastern Asia,  https://en.wikipedia.org/wiki/Southeast_Asia, 439&comma;022, Unitary Islamic absolute monarchy,  
Cameroon, https://en.wikipedia.org/wiki/Cameroon, 13 November 1995, Africa, https://en.wikipedia.org/wiki/Africa, Middle Africa,  https://en.wikipedia.org/wiki/Central_Africa, 24&comma;836&comma;674, Unitary semi-presidential republic, Most of the country was the formerly French mandate territory (later UN trust territory) of Cameroun&comma; which gained independence from France on 1 January 1960. It united with the much smaller former British mandate/trust territory of Southern Cameroons&comma; which gained independence from the United Kingdom on 1 October 1961. 
Canada, https://en.wikipedia.org/wiki/Canada, 19 November 1926, Americas, https://en.wikipedia.org/wiki/Americas, Northern America,  https://en.wikipedia.org/wiki/Northern_America, 39&comma;292&comma;355, Federal Commonwealth realm, Canada was the first among the several original Dominions at the time of the Balfour Declaration of 1926 and the Statute of Westminster 1931. Incorporated another original Dominion&comma; Newfoundland&comma; on 31 March 1949. The Canada Act 1982 formally ended the "request and consent" provisions of the Statute of Westminster 1931 in relation to Canada&comma; whereby the British parliament had a general power to pass laws extending to Canada at its own request. 
