札幌市, https://ja.wikipedia.org/wiki/%E6%9C%AD%E5%B9%8C%E5%B8%82, 北海道, https://ja.wikipedia.org/wiki/%E5%8C%97%E6%B5%B7%E9%81%93, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_Sapporo%2C_Hokkaido.svg/50px-Flag_of_Sapporo%2C_Hokkaido.svg.png, 50, 33, sapporo, 43.06208, 141.35439 
仙台市, https://ja.wikipedia.org/wiki/%E4%BB%99%E5%8F%B0%E5%B8%82, 宮城県, https://ja.wikipedia.org/wiki/%E5%AE%AE%E5%9F%8E%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Sendai%2C_Miyagi.svg/50px-Flag_of_Sendai%2C_Miyagi.svg.png, 50, 33, sendai, 38.26822, 140.86942 
さいたま市, https://ja.wikipedia.org/wiki/%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82, 埼玉県, https://ja.wikipedia.org/wiki/%E5%9F%BC%E7%8E%89%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Flag_of_Saitama%2C_Saitama.svg/50px-Flag_of_Saitama%2C_Saitama.svg.png, 50, 33, saitama, 35.8614, 139.6456 
千葉市, https://ja.wikipedia.org/wiki/%E5%8D%83%E8%91%89%E5%B8%82, 千葉県, https://ja.wikipedia.org/wiki/%E5%8D%83%E8%91%89%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Chiba%2C_Chiba.svg/50px-Flag_of_Chiba%2C_Chiba.svg.png, 50, 33 , chiba, 35.60728, 140.10636
横浜市, https://ja.wikipedia.org/wiki/%E6%A8%AA%E6%B5%9C%E5%B8%82, 神奈川県, https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Yokohama%2C_Kanagawa.svg/50px-Flag_of_Yokohama%2C_Kanagawa.svg.png, 50, 33, yokohama, 35.45033, 139.63422 
川崎市, https://ja.wikipedia.org/wiki/%E5%B7%9D%E5%B4%8E%E5%B8%82, 神奈川県, https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Kawasaki%2C_Kanagawa.svg/50px-Flag_of_Kawasaki%2C_Kanagawa.svg.png, 50, 35, kawasaki, 35.53089, 139.703 
相模原市, https://ja.wikipedia.org/wiki/%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82, 神奈川県, https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Sagamihara%2C_Kanagawa.svg/50px-Flag_of_Sagamihara%2C_Kanagawa.svg.png, 50, 33, sagamihara, 35.57142, 139.37314 
新潟市, https://ja.wikipedia.org/wiki/%E6%96%B0%E6%BD%9F%E5%B8%82, 新潟県, https://ja.wikipedia.org/wiki/%E6%96%B0%E6%BD%9F%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Niigata%2C_Niigata.svg/50px-Flag_of_Niigata%2C_Niigata.svg.png, 50, 33, niigata, 37.91619, 139.03639 
静岡市, https://ja.wikipedia.org/wiki/%E9%9D%99%E5%B2%A1%E5%B8%82, 静岡県, https://ja.wikipedia.org/wiki/%E9%9D%99%E5%B2%A1%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Shizuoka%2C_Shizuoka.svg/50px-Flag_of_Shizuoka%2C_Shizuoka.svg.png, 50, 33, shizuoka, 34.9756, 138.3825 
浜松市, https://ja.wikipedia.org/wiki/%E6%B5%9C%E6%9D%BE%E5%B8%82, 静岡県, https://ja.wikipedia.org/wiki/%E9%9D%99%E5%B2%A1%E7%9C%8C, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_Hamamatsu%2C_Shizuoka.svg/50px-Flag_of_Hamamatsu%2C_Shizuoka.svg.png, 50, 33, hamamatsu, 34.71089, 137.72619 
