Afghanistan, Islamic Emirate of Afghanistan, https://en.wikipedia.org/wiki/Afghanistan, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/23px-Flag_of_the_Taliban.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/800px-Flag_of_the_Taliban.svg.png, 800, 400 
Albania, Republic of Albania, https://en.wikipedia.org/wiki/Albania, https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/21px-Flag_of_Albania.svg.png, 21, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/800px-Flag_of_Albania.svg.png, 800, 571 
Algeria, People's Democratic Republic of Algeria, https://en.wikipedia.org/wiki/Algeria, https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/800px-Flag_of_Algeria.svg.png, 800, 533 
Andorra, Principality of Andorra, https://en.wikipedia.org/wiki/Andorra, https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png, 22, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/800px-Flag_of_Andorra.svg.png, 800, 560 
Angola, Republic of Angola, https://en.wikipedia.org/wiki/Angola, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/23px-Flag_of_Angola.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/800px-Flag_of_Angola.svg.png, 800, 533 
Antigua and Barbuda, Antigua and Barbuda, https://en.wikipedia.org/wiki/Antigua_and_Barbuda, https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/23px-Flag_of_Antigua_and_Barbuda.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/800px-Flag_of_Antigua_and_Barbuda.svg.png, 800, 533 
Argentina, Argentine Republic, https://en.wikipedia.org/wiki/Argentina, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/800px-Flag_of_Argentina.svg.png, 800, 500 
Armenia, Republic of Armenia, https://en.wikipedia.org/wiki/Armenia, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/23px-Flag_of_Armenia.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/800px-Flag_of_Armenia.svg.png, 800, 400 
Australia, Commonwealth of Australia, https://en.wikipedia.org/wiki/Australia, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/800px-Flag_of_Australia_%28converted%29.svg.png, 800, 400 
Austria, Republic of Austria, https://en.wikipedia.org/wiki/Austria, https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/23px-Flag_of_Austria.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/800px-Flag_of_Austria.svg.png, 800, 533 
