Anguilla, https://en.wikipedia.org/wiki/Anguilla, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/80px-Flag_of_Anguilla.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Coat_of_arms_of_Anguilla.svg/32px-Coat_of_arms_of_Anguilla.svg.png, 32, 40,  Caribbean, https://en.wikipedia.org/wiki/Caribbean, "Unity&comma; Strength and Endurance", 91 km2 (35.1 sq mi), 14&comma;869 (2019 estimate),  The Valley, https://en.wikipedia.org/wiki/The_Valley%2c_Anguilla, $299 million, ,  
Bermuda, https://en.wikipedia.org/wiki/Bermuda, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/80px-Flag_of_Bermuda.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Coat_of_arms_of_Bermuda.svg/27px-Coat_of_arms_of_Bermuda.svg.png, 27, 40,  Azores, https://en.wikipedia.org/wiki/Azores, "Quo fata ferunt" (Latin; "Whither the Fates carry [us]"), 54 km2 (20.8 sq mi), 62&comma;506 (2019 estimate),  Hamilton, https://en.wikipedia.org/wiki/Hamilton%2c_Bermuda, $6.464 billion, ,  
British Antarctic Territory, https://en.wikipedia.org/wiki/British_Antarctic_Territory, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_the_British_Antarctic_Territory.svg/80px-Flag_of_the_British_Antarctic_Territory.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Coat_of_arms_of_the_British_Antarctic_Territory.svg/39px-Coat_of_arms_of_the_British_Antarctic_Territory.svg.png, 39, 40,  Antarctica, https://en.wikipedia.org/wiki/Antarctica, "Research and discovery", 1&comma;709&comma;400 km2 (660&comma;000 sq mi), 050 non-permanent in winter&comma; over 400 in summer (research personnel),  Rothera, https://en.wikipedia.org/wiki/Rothera_Research_Station, , , Subject to the Antarctic Treaty System. 
British Indian Ocean Territory, https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg/80px-Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Coat_of_arms_of_the_British_Indian_Ocean_Territory.svg/40px-Coat_of_arms_of_the_British_Indian_Ocean_Territory.svg.png, 40, 40,  Indian Ocean, https://en.wikipedia.org/wiki/Indian_Ocean, "In tutela nostra Limuria" (Latin; "Limuria is in our charge"), 60 km2 (23 sq mi), 03&comma;000 non-permanent (UK and US military and staff personnel; estimate),  Naval Support Facility Diego Garcia, https://en.wikipedia.org/wiki/Naval_Support_Facility_Diego_Garcia, , , Claimed by Mauritius. Includes seven atolls of the Chagos Archipelago and the island of Diego Garcia 
British Virgin Islands, https://en.wikipedia.org/wiki/British_Virgin_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/80px-Flag_of_the_British_Virgin_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Coat_of_arms_of_the_British_Virgin_Islands.svg/37px-Coat_of_arms_of_the_British_Virgin_Islands.svg.png, 37, 40,  Caribbean, https://en.wikipedia.org/wiki/Caribbean, "Vigilate" (Latin; "Be watchful"), 153 km2 (59 sq mi), 31&comma;758 (2018 census),  Road Town, https://en.wikipedia.org/wiki/Road_Town, $1.05 billion, , Tortola&comma; Virgin Gorda&comma; Anegada&comma; Jost Van Dyke 
Cayman Islands, https://en.wikipedia.org/wiki/Cayman_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/80px-Flag_of_the_Cayman_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Coat_of_arms_of_the_Cayman_Islands.svg/33px-Coat_of_arms_of_the_Cayman_Islands.svg.png, 33, 40,  Caribbean, https://en.wikipedia.org/wiki/Caribbean, "He hath founded it upon the seas", 264 km2 (101.9 sq mi), 78&comma;554 (2022 report),  George Town, https://en.wikipedia.org/wiki/George_Town%2c_Cayman_Islands, $4.298 billion, , Grand Cayman&comma; Cayman Brac&comma; and Little Cayman 
Falkland Islands, https://en.wikipedia.org/wiki/Falkland_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/80px-Flag_of_the_Falkland_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Coat_of_arms_of_the_Falkland_Islands.svg/30px-Coat_of_arms_of_the_Falkland_Islands.svg.png, 30, 40,  , , "Desire the right", 12&comma;173 km2 (4&comma;700 sq mi), 3&comma;377 (2019 estimate)1&comma;350 non-permanent (UK military personnel; 2012 estimate),  Stanley, https://en.wikipedia.org/wiki/Stanley%2c_Falkland_Islands, $164.5 million, , Claimed by Argentina. In 1982 the Falklands War was fought over control of the islands. Includes East Falkland&comma; West Falkland and over 700 other islands. 
Gibraltar, https://en.wikipedia.org/wiki/Gibraltar, https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/80px-Flag_of_Gibraltar.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Coat_of_arms_of_Gibraltar1.svg/35px-Coat_of_arms_of_Gibraltar1.svg.png, 35, 40,  Iberian Peninsula, https://en.wikipedia.org/wiki/Iberian_Peninsula, "Nulli expugnabilis hosti" (Latin; "No enemy shall expel us"), 6.5 km2 (2.5 sq mi), 33&comma;701 (2019 estimate)1&comma;250 non-permanent (UK military personnel; 2012 estimate),  Gibraltar, https://en.wikipedia.org/wiki/Gibraltar, $3.08 billion, , Claimed by Spain. 
Montserrat, https://en.wikipedia.org/wiki/Montserrat, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/80px-Flag_of_Montserrat.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Coat_of_arms_of_Montserrat.svg/31px-Coat_of_arms_of_Montserrat.svg.png, 31, 40,  , , "A people of excellence&comma; moulded by nature&comma; nurtured by God", 101 km2 (39 sq mi), 5&comma;215 (2019 census),  Plymouth, https://en.wikipedia.org/wiki/Plymouth%2c_Montserrat, $61 million, ,  
Pitcairn Islands, https://en.wikipedia.org/wiki/Pitcairn_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_the_Pitcairn_Islands.svg/80px-Flag_of_the_Pitcairn_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Coat_of_arms_of_the_Pitcairn_Islands.svg/34px-Coat_of_arms_of_the_Pitcairn_Islands.svg.png, 34, 40,  , , , 47 km2 (18 sq mi), 50 (2018 estimate)6 non-permanent (2014 estimate),  Adamstown, https://en.wikipedia.org/wiki/Adamstown%2c_Pitcairn_Islands, $144&comma;715, , Pitcairn&comma; Henderson&comma; Ducie and Oeno 
